handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_fb19fa23-9413-88cf-2679-b5d8c404a261,Product,Rising Table,"<p>When your players find all hand-made, painted wooden talismans and place them in thier own special places the center of the table rises up magically revealing their invitation to <a href=""https://www.buyescaperoomplans.com/product-page/school-of-wizardry-complete-build-out"" target=""_blank"">the School of Wizardry!</a>&nbsp;(Or whatever you like!)</p><p>This one really wow's them!&nbsp; It's a fantastic end to a game with a genuinely majestic reveal&nbsp;as people genuinely <strong>squeal with delight</strong> at the surprise animation.&nbsp;</p><p>We can also re-design it to fit the look of other themes such as sci-fi, spies, etc.</p><p>Call for time-to-build as they are custom-made and created in the order in which orders are made.</p>",2b8f3a_90ba0452216b410ea9678af4e79f37db~mv2_d_3000_2250_s_2.jpg,Escape Room Products,,New Arrival!,750.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_590d47ca-7025-1c86-4a9d-c73a856294c9,Product,Gothic Lantern (3d printed),"<p>Beautiful new 3d prop that we are using with School of Wizardry now.&nbsp; We can included it on a floor-stand base or with an angled-from-the-wall mount.&nbsp; Use it with flickering-flame bulbs and it gives an AMAZING real-fire and gothic castle ambiance to any room themed around magic, dracula, Game of Thrones or similar concepts.&nbsp;&nbsp;</p><p>Please allow 30 days as they are 3D printed&nbsp;to order.</p>",2b8f3a_6b9ef16fb6d54dfab74725d30fce3bd2~mv2_d_2079_3000_s_2.jpg,Escape Room Products,,New Arrival!,150.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6c8a46cf-3b4c-1fce-8bcf-8669e293e230,Product,Super Uber Ultra Mega Bomb,"<p><strong>Super Uber Ultra Mega Bomb!&nbsp;</strong></p><p>&nbsp;</p><p>FANTASTIC for versatility and ease!&nbsp; This ""bomb"" can be built into any look/shell - whether you want a nuclear bomb, a briefcase bomb, a C4 bomb duct-taped to a wall (seen here) a bomb vest - you name it.&nbsp; It's been made with working game masters in mind:</p><p>&nbsp;</p><p>- Handy 480 x 320 touchscreen for easy entry and no buttons or internal wires to wear out. Made to last for thousands of games!</p><p>&nbsp;</p><p>- Music and sound effects on board!</p><p>&nbsp;</p><p>Option of having it play MP3 quality music playing through it for your room's background ambiance. Royalty free music included and we can easily put your custom music in instead.</p><p>&nbsp;</p><p>- Just plug in any powered speaker with a standard 1/8"" audio cable.</p><p>&nbsp;</p><p>- If your speaker is USB powered you can plug the power cord right into the bomb so you only need only one wall plug (or battery connection)!</p><p>&nbsp;</p><p>- Comes with the standard option to have police radio chatter (or other) sound effects randomly play in the background (simple on/off button on set-up screen)</p><p>&nbsp;</p><p>- Option available to have a wireless computer keyboard for entry instead of on-screen keypad</p><p>&nbsp;</p><p>- Soundtrack counts down. ""Detonation in 60 minutes"" and then again at the 10 minute mark and then 10... 9... 8... 7... to zero.</p><p>&nbsp;</p><p>- has explosion sounds if the time runs out (way cooler than a simple siren)</p><p>&nbsp;</p><p>- Has applause sound effects if they defuse the bomb</p><p>&nbsp;</p><p>- No more pushing a paper clip into a hole, holding down a button for a long press to move to the next digit and short presses to change the numbers.</p><p>&nbsp;</p><p>- Countdown screen has a button for keypad so the players can switch back and forth. More modern screen for the bomb defusing code entry.</p><p>&nbsp;</p><p>- Can set default password that it automatically remembers from game to game</p><p>&nbsp;</p><p>- Reset is as easy as pressing ""New Game"" and then ""Start""</p><p>&nbsp;</p><p>- Can change your password at any time easily</p><p>&nbsp;</p><p>- You can set the time for a default 60 minutes or shorter lengths for special events</p><p>&nbsp;</p><p>- We can attach/include a relay for door opening or other electronic reward</p><p>&nbsp;</p><p>- 3d printed custom case protects the electronics with screw hold to easily mount to any bomb casing you want</p><p>&nbsp;</p><p>- has wifi built in so you can play youtube playlists at night while you are cleaning up (yes, I know it's silly, but we enjoyed it)</p><p>&nbsp;</p><p>- AC corded but we include a USB rechargeable battery option</p><p>&nbsp;</p><p>- We can also customize it to your liking much more inexpensively than building something like this from scratch. Really, we are just super excited about this. It's a simple prop but with lots of possibilities.</p><p>&nbsp;</p><p>This prop is so versatile it doesn't even have to be a bomb. For a small fee we'll change the sound effects and little details and send you the new software so it can be repurposed for another game. The same hardware can be used for a countdown data entry system; or a simple keypad entry system without the countdown for other puzzles and games down the line.</p><p>&nbsp;</p><p>We plan on coming out with other games using it as time goes on. So it can be recycled for multiple escape rooms.&nbsp; Other future upgrades on the drawing board include:</p><p>&nbsp;</p><p>Using the (already built-in) bluetooth so you can run your music from it to your bluetooth speaker system and setting up a remote on/off/reset feature through a website so you can do all of that from your control room without even touching it</p><p>&nbsp;</p><p>We are releasing it now at $400 and we will pay the shipping.&nbsp; Please allow 30 days as we order the components as needed (but we'll try and get them to you sooner than that).</p><p>&nbsp;</p><p>Off the rack it comes pre-loaded with the codes and sound effects for our game BOOM! (available here at www.BuyEscapeRoomPlans.com). But we'll be happy to pre-load it with your secret code as it's default before we send it to you free of charge. We're also happy to pre-load it with different music if you prefer.</p><p>&nbsp;</p><p>Be the coolest kid on your escape room block and buy ten of them today!</p><p>&nbsp;</p><p>&nbsp;</p><p>*Note: The ""C4"" version displayed here is not included.&nbsp; We are only selling the cool gismo in the center here. But we can build it for you, or any kind of bomb you would like, for an additional fee.</p>",2b8f3a_be40803c08da41ca9b5712f7b3ca17fa~mv2_d_4032_3024_s_4_2.jpg,Escape Room Products,,,400.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,return policy,"<p>Comes with a 30 day return or exchange policy as long as the screen is not cracked.&nbsp; We will replace the screen for $100 if it ever does get damaged.</p>

<p>&nbsp;</p>

<p>We recomend that it be installed in something that is connected to a table or a wall or in some way where it won't be dropped - just like you wouldn't want to drop a cell phone.&nbsp;&nbsp;</p>
",,,,,,,,,,,,,,,,,
product_e07b463c-bf36-3961-f91c-e59b7f98ef6e,Product,Ten-Gear Puzzle,<p>This beautiful CNC-routed wooden puzzle isn't terribly hard and is perfect for the younger players in your group.&nbsp; Oversized objects inherently release endorphins and a sense of fun and the collecting of them in and of itself is a pleasure.&nbsp; It gives the kids something to figure out while your grown-up players are trying to crack the enigma code you put in there.</p><p>Allow 2 weeks for manufacture.</p>,2b8f3a_6df9d5a31ad4437180160f0c231efd56~mv2_d_1913_2133_s_2.jpg,Escape Room Products,,,575.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_68fcd23a-d351-369b-12a2-a0ff79cf67ba,Product,Giant Cypher-Gears Puzzle,"<p>These beautiful CNC-routed wooden gears are over 12"" in diameter each and form a great puzzle that can be mounted on a wall or on a table.&nbsp; Players need to first find the gears and then where to place each of them so that by putting a letter or number on the first the code comes out decrypted in the third.&nbsp; Millions of combinations.</p><p>Allow 2 weeks for manufacture as we make each one by hand.</p><p>&nbsp;</p><p>Picture above is from it's use in our School of Wizardry game - available both in electronic plans form and complete build-out.</p>",2b8f3a_511d309eac9741429ed618eae4d23b19~mv2_d_3024_3024_s_4_2.jpg,Escape Room Products,,,500.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_15e2b7f4-0e01-186d-ac1f-caf5e4b4932a,Product,Patient Zero - Complete Build-out,"<p><strong>Patient Zero</strong></p><p><em>This is a <strong>complete build-out</strong> which means we will decorate the room, install post-apocalyptic lighting, build and install the microelectronics, train your staff and </em><strong><em>hand you the keys to to a well-tested and highly reviewed ready-to-play game!</em></strong></p><p>&nbsp;</p><p>Welcome to Nano-Gen Enterprises. We have invented wifi-programmable airborne nanobots that make viruses to CURE anything and a SUPER-computer named Josie to program them.&nbsp;</p><p>Bad news is: Josie has gone insane.&nbsp;</p><p>She created a nano-virus that heals the body quickly - but destroys every part of the brain that makes us human. Infected people are vicious, hard to kill and… well… eat people. The media calls them “Zombies”.&nbsp;</p><p>Before he died, Dr. Figaro Skaramousch left clues on how to neutralize the virus before anyone else turns. But he had to hide or disguise everything so Josie’s robots could not find them. You will have to solve the clues he left you and re-program the nano-virus before it reaches epidemic proportions.&nbsp;</p><p>And, the worst news is: The moment you enter the room you will be infected. You have only one hour before the disease has done to much damage to your body to reverse and you become one of them.</p><p>Good luck.</p><p>&nbsp;</p><p>*This is a veteran room that has seen THOUSANDS of players and has been fine-tuned through trial and error. &nbsp;It is a CONSISTENT best seller at our escape rooms and works well with the sequal game Patient Zero Episode II. &nbsp;In addition to the obvious excitemnet there are also some great comedy elements built into this game as well (both in the player intro and in recordings we give you of Josie the insane AI. &nbsp;She's kinda like Gladys from Portal if you've met her ;)</p>",2b8f3a_e72319ad97bc4b529417c9cb147003b9~mv2.png;2b8f3a_15f15303bdc645e3ac60e9ad78772eb3~mv2.jpg;2b8f3a_c02d3d6767d042e0bac9de9bf0abb164~mv2_d_4032_3024_s_4_2.jpg;2b8f3a_c0bc78eeab3b451b9a5b67025d5e78f8~mv2_d_4032_3024_s_4_2.jpg;2b8f3a_68c0e69bd9c04db5acaa5cf64dd53a2b~mv2.jpg;2b8f3a_41161a1dd0984341b26f01971d4ce6dc~mv2_d_4032_3024_s_4_2.jpg;2b8f3a_a31588ca2b72497da36dc8c59bc61aad~mv2_d_4032_3024_s_4_2.jpg;2b8f3a_d6cf7abb0e6847baa7904ba50fa01025~mv2_d_2048_1536_s_2.jpg;2b8f3a_aaab259342564c20bfba234fc7643e60~mv2_d_4032_3024_s_4_2.jpg;2b8f3a_204b96c06ba64c6794f18dec2e4c52a6~mv2_d_2048_1735_s_2.jpg;2b8f3a_b8044f7395504849bcaff98f925da7f5~mv2_d_5760_3840_s_4_2.jpg,Complete Escape Room Build-out,,Call for Quote,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d6fb3803-de99-b10d-7e53-73de884bddbe,Product,HEIST! Complete Build-out,"<p>CONSISTENT BEST-SELLING ROOM FOR NEW PLAYERS AND BIRTHDAY&nbsp;GROUPS</p><p>&nbsp;</p><p>This is also GREAT for younger players because if they don't have the attention span for the puzzles they will still enjoy playing in the lasers. &nbsp;Adults love it too especially in that the final puzzles are creative and quite challenging.&nbsp;</p><p>&nbsp;</p><p>This is a complicated build - but <strong>we can do it all FOR you!&nbsp; </strong>We will build and decorate the room, install all of the electronic puzzles and even align and calibrate all the lasers for you!</p><p>&nbsp;</p><p><strong>STEAL $3 Million in Diamonds!</strong></p><p>You have slipped into the private sitting room of an international crime lord. You have exactly one hour to slip past his security protocols including locked compartments, secret doors, an un-crackable safe and a LASER OBSTACLE COURSE so you can steal a fortune including the famous Nosome diamond worth $3.4 million - and not get caught!</p>",2b8f3a_19065fd997ad47dcacd1e46179f1811b~mv2_d_5760_3840_s_4_2.jpg;2b8f3a_9c6e92d065d54f9ab0f27f4d1e564d31~mv2.jpg;2b8f3a_cebb89d8209a4d84b47d06753d3a7c69~mv2_d_1715_1476_s_2.jpg,Complete Escape Room Build-out,,Call for Quote,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6a566452-75f3-b833-2c09-6b7f3173ad5e,Product,Speakeasy - Complete Build-out,"<p><em>""We had a blast. &nbsp;My hubby and I chose the Al Capone (Speak Easy) room and it was so much fun!!!"" </em>&nbsp;</p><p>- Michelle Tennant</p><p>&nbsp;</p><p><em>""We had so much fun in the speakeasy room!"" </em></p><p>-&nbsp;Annette Steiner</p><p><strong>Welcome to the untouchables.&nbsp; Elliot Ness has hired you to help him bring down the biggest gangster of them all - the infamous Al Capone!</strong></p><p><strong>We have a warrant to search one of his private speakeasy’s and we have reason to believe his ledger is hidden in there somewhere.&nbsp; You have exactly one hour to either find it and put him away for good…</strong></p><p><strong>…or be on the hit list of the most dangerous man alive.</strong></p><p><strong>Good luck!</strong></p><p>&nbsp;</p><p>Speakeasy is a complete and well-proven escape room for 1 or 2 rooms featuring multi-sensory puzzles, a secret door, passwords, great electronic puzzles, action at a distance and sexy 1920's flappers (optional).&nbsp;&nbsp;</p><p>&nbsp;</p><p>With this package <strong>we will build the room for you </strong>from soup to nuts including the woodworking, decor, electronics and everything else a budding bootlegging gangster&nbsp;could possibly need.</p><p>&nbsp;</p><p>Speakeasy's are another growing international trend just like escape rooms - so it's the perfect time to produce this room.</p>",2b8f3a_8630a8f1b7d8406fae674ea892d4a88a~mv2.png;2b8f3a_e49fd5b5fdad4dfba03ed2338e649f40~mv2.png;2b8f3a_0a39a9a2c3894668a568cd3f7f3195d9~mv2.jpg;2b8f3a_78dccefe88c54a57a6b80ca2f91aed0e~mv2_d_1230_1230_s_2.jpg,Complete Escape Room Build-out,,Call for Quote,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_3973713c-8fd9-cb7f-e0ae-1defaf4348e2,Product,School of Wizardry - Complete Build-out,"<p>You have been invited to audition for the School of Wizardry.&nbsp; You will need your wands, wits and sense of wonder if you are to escape this magical adventure with your letter acceptance.</p><p>The School of Wizardry is a 3rd generation escape room that is filled with magic and a tremendous crowd draw and crowd pleaser.&nbsp; Inspired by Harry Potter demographics that enjoy this game are as multi-generational as are the fans of that all-time best seller.</p><p>Wands cause pictures to magically change and secret doors to open.&nbsp; Magic talismans cause secret compartments to rise from tables.&nbsp; Lighting, sounds and even smells really give you the feeling that you are in an ancient and magical castle&nbsp;and all the electronics are hidden creating an illusion of real magic.</p><p>5-star rated on Yelp, Google, Facebook and Groupon this game is a reputation-maker and will bring gamers back to your facility.</p><p>The complete build-out price listed above is an estimate and includes all custom designed and built scenery,&nbsp;electronics,&nbsp;labor and installation.&nbsp;&nbsp;</p><p>We are located in Richmond, VA so travel may affect the price up or down depending on your location.&nbsp;</p><p>We will provide on-site training&nbsp;and as always, you can call any time for clarification and help.&nbsp; However this room involves a great deal of work including installing multiple different electronics puzzles.&nbsp; It will take 30-60 days for build-out and having experienced professionals do it for you will ensure that it is done right.</p><p>This is the kind of escape room that places you well ahead of your competitors and is a real tourist attraction.</p><p>Comes with free plans for a mobile version you can take on a plane and use for promotional purposes at special events for for corporate clients/team-building seminars.</p><p>Call us today if you have any questions and let us help you take your facility to the next level.</p>",2b8f3a_f116f33458674f07a4d26dbfd1b3a3c9~mv2_d_4032_3024_s_4_2.jpg;2b8f3a_d51269a561804cc8916a07dcad8f95e5~mv2_d_4032_3024_s_4_2.jpg;2b8f3a_310fd3b90ae24f26b4746eac1e5b158e~mv2_d_4032_3024_s_4_2.jpg;2b8f3a_1f3fc8705ac34dc6a62c340a8e635924~mv2_d_3024_4032_s_4_2.jpg;2b8f3a_d7fb3f138fed471c8bd93c23bd5c002b~mv2_d_2448_3264_s_4_2.jpg;2b8f3a_052a9052b0c745d1a7c3fd113ead3207~mv2_d_4032_3024_s_4_2.jpg;2b8f3a_0c76ee9a7a6d4adab49a80ac3ffba682~mv2_d_2411_2448_s_4_2.jpg;2b8f3a_87240e6e02ee476398bbb31a4124a3a3~mv2_d_4032_3024_s_4_2.jpg;2b8f3a_8f4890096b3c4200950e939e3c4f9ca9~mv2_d_1600_1200_s_2.png,Complete Escape Room Build-out,,Call for Quote,0.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_df14c3d1-04b3-abad-9cc2-a11145c6cc88,Product,School of Wizardry - Game Design Only,"<p>You have been invited to audition for the School of Wizardry.&nbsp; You will need your wands, wits and sense of wonder if you are to escape this magical adventure with your letter acceptance.</p><p>The School of Wizardry is a 3rd generation escape room that is filled with magic and a tremendous crowd draw and crowd pleaser.&nbsp; Inspired by Harry Potter demographics that enjoy this game are as multi-generational as are the fans of that all-time best seller.</p><p>Wands cause pictures to magically change and secret doors to open.&nbsp; Magic talismans cause secret compartments to rise from tables.&nbsp; Lighting, sounds and even smells really give you the feeling that you are in an ancient and magical castle&nbsp;and all the electronics are hidden creating an illusion of real magic.</p><p>5-star rated on Yelp, Google, Facebook and Groupon this game is a reputation-maker and will bring gamers back to your facility.</p><p>SOW is available as both a written game plan only or we can come out and build it for you.&nbsp; We are located in Richmond, VA so travel may affect the price up or down depending on your location.&nbsp; The instructions are detailed, and as always, you can call any time for clarification and help.&nbsp; However this room involves a great deal of work including installing multiple different electronics puzzles.&nbsp; It will take 30-60 days for build-out and having experienced professionals do it for you will ensure that it is done right.</p><p>If you do it yourself plan around $4,000 for your build-out (depending on labor costs).&nbsp; If we do it for you labor will be included in your quote.</p><p>This is the kind of escape room that places you well ahead of your competitors and is a real tourist attraction.</p><p>Comes with free plans for a mobile version you can take on a plane and use for promotional purposes at special events for for corporate clients/team-building seminars.</p><p>Call us today if you have any questions and let us help you take your facility to the next level.</p>",2b8f3a_f116f33458674f07a4d26dbfd1b3a3c9~mv2_d_4032_3024_s_4_2.jpg;2b8f3a_1f3fc8705ac34dc6a62c340a8e635924~mv2_d_3024_4032_s_4_2.jpg;2b8f3a_d7fb3f138fed471c8bd93c23bd5c002b~mv2_d_2448_3264_s_4_2.jpg;2b8f3a_0c76ee9a7a6d4adab49a80ac3ffba682~mv2_d_2411_2448_s_4_2.jpg;2b8f3a_310fd3b90ae24f26b4746eac1e5b158e~mv2_d_4032_3024_s_4_2.jpg;2b8f3a_87240e6e02ee476398bbb31a4124a3a3~mv2_d_4032_3024_s_4_2.jpg;2b8f3a_8f4890096b3c4200950e939e3c4f9ca9~mv2_d_1600_1200_s_2.png,Escape Room Plans,,FREE Plans for mobile versio,2500.0,,true,PERCENT,0.0,InStock,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
